,ipr_real,mean,std,lb,ub,pvalue
0,0.9995488810473965,0.4019765300579698,0.32129092130291664,0.028767910607839113,0.9747629590253579,0.0
1,0.9997118411337463,0.4027898917610652,0.32666353797466396,0.02921625636546425,0.9900824787041839,0.0
2,0.9997787605875388,0.4093075515000447,0.32599320166879714,0.029332806052648153,0.9952528753805459,0.0
3,0.9998055542320005,0.4057299704267943,0.32929044487001974,0.03020944513895218,0.9973491446019874,0.0
4,0.9998225288724163,0.41364240253291573,0.33350117450153427,0.030974697653681577,0.9980467319109682,0.0
5,0.9998282912224753,0.42002874249676975,0.33802743477846553,0.03206998997752354,0.9983322551484545,0.0
6,0.9998053097787278,0.4288900746927863,0.3431434993456176,0.0303521875961695,0.9857668629211999,0.0
7,0.9993600141435328,0.44133150518257946,0.3499483151317063,0.02921740583123306,0.9888257434454117,0.0
8,0.9953809925789342,0.44170415844963373,0.3478078522868352,0.029883988885407387,0.986851202598227,0.042
9,0.999009509457901,0.43483025343774134,0.341799086193206,0.03063745786022766,0.9790240909595938,0.0
10,0.9985312289743034,0.4615084171677696,0.34137205895350065,0.029434054096960035,0.9805124473137987,0.0
11,0.9990178941417507,0.45464901538545544,0.3432363666828845,0.029283311089889793,0.9766234353558549,0.0
12,0.99936426849614,0.44207204775102255,0.33920474702322634,0.029857902428672936,0.9754910197986042,0.0
13,0.9992489563076155,0.43425494551429716,0.32920423132759563,0.03031282801898918,0.975937301674465,0.0
14,0.999246130443251,0.42694738888119466,0.3286420176985417,0.03219997198660707,0.9741205698314714,0.0
