,ipr_real,mean,std,lb,ub,pvalue
0,0.9991026779927805,0.3452978336856292,0.2598120691595953,0.02698933639959872,0.8978502225772237,0.0
1,0.9994806330545802,0.3368500688656257,0.26698082233949333,0.026879784463162994,0.8981410135326321,0.0
2,0.999519475270766,0.34650000726479546,0.2791381128230428,0.026817843784471485,0.9119310104342279,0.0
3,0.9994523766015069,0.36958382456852,0.28309245723427817,0.02690989070895231,0.9102195626038911,0.0
4,0.999357753176754,0.3717342507866555,0.29033584998837175,0.026932554852645677,0.9140431045701062,0.0
5,0.9992268539128071,0.37678577740469177,0.2951545717771405,0.02755855807212904,0.9334690938305208,0.0
6,0.9990236880273458,0.37556138243788223,0.29459334377292545,0.027785800905658544,0.9283363187963467,0.0
7,0.9950085416010674,0.37398707481445936,0.2917795700206396,0.027867387411573505,0.9207572065072155,0.0
8,0.9981601696382939,0.36635425142616007,0.2780134845552192,0.027823798939160156,0.9132041823854725,0.0
9,0.9990938956536067,0.37719342866808686,0.2818110015215435,0.028028550697115955,0.9259263067809405,0.0
10,0.9985804152004026,0.3717987318858331,0.2798682476815842,0.0279678970176267,0.9235284321916934,0.0
11,0.9989259082844498,0.3583631919865872,0.2730763253952678,0.028281501133001624,0.9163710005176403,0.0
12,0.9993509691503786,0.37418979421930465,0.28171737243328643,0.029859418748585432,0.9068551391926829,0.0
13,0.9994758456704187,0.36781880869358957,0.2794548336854814,0.030705246799732033,0.8919528519770845,0.0
14,0.9995707426426751,0.3631849875919614,0.28018166931120214,0.031537546261006494,0.883504976952295,0.0
